f,mag,pha
1.00000000000000e+003,-2.47494697796738e+001,-6.25998741255296e-001
1.00230523807790e+003,-2.47505356814254e+001,-6.27455040961345e-001
1.00461579027840e+003,-2.47516066513732e+001,-6.28914791898340e-001
1.00693166885180e+003,-2.47526827143216e+001,-6.30378002703999e-001
1.00925288607668e+003,-2.47537638952033e+001,-6.31844682040912e-001
1.01157945425990e+003,-2.47548502190796e+001,-6.33314838596793e-001
1.01391138573668e+003,-2.47559417111417e+001,-6.34788481084576e-001
1.01624869287070e+003,-2.47570383967107e+001,-6.36265618242262e-001
1.01859138805412e+003,-2.47581403012390e+001,-6.37746258833517e-001
1.02093948370768e+003,-2.47592474503107e+001,-6.39230411647549e-001
1.02329299228075e+003,-2.47603598696425e+001,-6.40718085498714e-001
1.02565192625141e+003,-2.47614775850842e+001,-6.42209289227477e-001
1.02801629812647e+003,-2.47626006226200e+001,-6.43704031699864e-001
1.03038612044162e+003,-2.47637290083685e+001,-6.45202321808001e-001
1.03276140576140e+003,-2.47648627685841e+001,-6.46704168469709e-001
1.03514216667934e+003,-2.47660019296575e+001,-6.48209580629141e-001
1.03752841581801e+003,-2.47671465181167e+001,-6.49718567256651e-001
1.03992016582906e+003,-2.47682965606273e+001,-6.51231137348603e-001
1.04231742939330e+003,-2.47694520839939e+001,-6.52747299928084e-001
1.04472021922080e+003,-2.47706131151604e+001,-6.54267064044625e-001
1.04712854805090e+003,-2.47717796812111e+001,-6.55790438774339e-001
1.04954242865232e+003,-2.47729518093714e+001,-6.57317433219986e-001
1.05196187382322e+003,-2.47741295270085e+001,-6.58848056511164e-001
1.05438689639126e+003,-2.47753128616326e+001,-6.60382317804712e-001
1.05681750921366e+003,-2.47765018408973e+001,-6.61920226283970e-001
1.05925372517729e+003,-2.47776964926004e+001,-6.63461791160037e-001
1.06169555719872e+003,-2.47788968446852e+001,-6.65007021670815e-001
1.06414301822431e+003,-2.47801029252410e+001,-6.66555927081703e-001
1.06659612123026e+003,-2.47813147625038e+001,-6.68108516685876e-001
1.06905487922266e+003,-2.47825323848575e+001,-6.69664799803689e-001
1.07151930523761e+003,-2.47837558208346e+001,-6.71224785783352e-001
1.07398941234124e+003,-2.47849850991171e+001,-6.72788484001110e-001
1.07646521362983e+003,-2.47862202485372e+001,-6.74355903860871e-001
1.07894672222983e+003,-2.47874612980784e+001,-6.75927054794726e-001
1.08143395129794e+003,-2.47887082768762e+001,-6.77501946263024e-001
1.08392691402120e+003,-2.47899612142191e+001,-6.79080587753984e-001
1.08642562361706e+003,-2.47912201395494e+001,-6.80662988784852e-001
1.08893009333343e+003,-2.47924850824643e+001,-6.82249158900996e-001
1.09144033644875e+003,-2.47937560727165e+001,-6.83839107676347e-001
1.09395636627209e+003,-2.47950331402152e+001,-6.85432844713967e-001
1.09647819614318e+003,-2.47963163150273e+001,-6.87030379645363e-001
1.09900583943252e+003,-2.47976056273779e+001,-6.88631722131385e-001
1.10153930954141e+003,-2.47989011076514e+001,-6.90236881861886e-001
1.10407861990207e+003,-2.48002027863925e+001,-6.91845868555791e-001
1.10662378397766e+003,-2.48015106943072e+001,-6.93458691961650e-001
1.10917481526240e+003,-2.48028248622635e+001,-6.95075361857212e-001
1.11173172728159e+003,-2.48041453212926e+001,-6.96695888050208e-001
1.11429453359173e+003,-2.48054721025895e+001,-6.98320280377789e-001
1.11686324778056e+003,-2.48068052375144e+001,-6.99948548706932e-001
1.11943788346715e+003,-2.48081447575935e+001,-7.01580702935019e-001
1.12201845430196e+003,-2.48094906945200e+001,-7.03216752988964e-001
1.12460497396692e+003,-2.48108430801548e+001,-7.04856708826393e-001
1.12719745617551e+003,-2.48122019465279e+001,-7.06500580434966e-001
1.12979591467279e+003,-2.48135673258392e+001,-7.08148377833119e-001
1.13240036323555e+003,-2.48149392504597e+001,-7.09800111069807e-001
1.13501081567231e+003,-2.48163177529321e+001,-7.11455790224535e-001
1.13762728582343e+003,-2.48177028659721e+001,-7.13115425408073e-001
1.14024978756117e+003,-2.48190946224697e+001,-7.14779026761968e-001
1.14287833478977e+003,-2.48204930554895e+001,-7.16446604458937e-001
1.14551294144553e+003,-2.48218981982724e+001,-7.18118168703097e-001
1.14815362149688e+003,-2.48233100842364e+001,-7.19793729729956e-001
1.15080038894443e+003,-2.48247287469777e+001,-7.21473297806374e-001
1.15345325782109e+003,-2.48261542202718e+001,-7.23156883231354e-001
1.15611224219210e+003,-2.48275865380741e+001,-7.24844496335211e-001
1.15877735615512e+003,-2.48290257345220e+001,-7.26536147480740e-001
1.16144861384034e+003,-2.48304718439350e+001,-7.28231847062515e-001
1.16412602941049e+003,-2.48319249008161e+001,-7.29931605507426e-001
1.16680961706096e+003,-2.48333849398531e+001,-7.31635433274805e-001
1.16949939101987e+003,-2.48348519959196e+001,-7.33343340856625e-001
1.17219536554813e+003,-2.48363261040760e+001,-7.35055338777324e-001
1.17489755493953e+003,-2.48378072995708e+001,-7.36771437594355e-001
1.17760597352080e+003,-2.48392956178414e+001,-7.38491647898036e-001
1.18032063565173e+003,-2.48407910945159e+001,-7.40215980311804e-001
1.18304155572516e+003,-2.48422937654134e+001,-7.41944445492548e-001
1.18576874816716e+003,-2.48438036665458e+001,-7.43677054130281e-001
1.18850222743701e+003,-2.48453208341188e+001,-7.45413816948761e-001
1.19124200802737e+003,-2.48468453045328e+001,-7.47154744705393e-001
1.19398810446427e+003,-2.48483771143845e+001,-7.48899848191549e-001
1.19674053130724e+003,-2.48499163004677e+001,-7.50649138232593e-001
1.19949930314937e+003,-2.48514628997749e+001,-7.52402625687840e-001
1.20226443461741e+003,-2.48530169494981e+001,-7.54160321451316e-001
1.20503594037179e+003,-2.48545784870303e+001,-7.55922236451061e-001
1.20781383510678e+003,-2.48561475499667e+001,-7.57688381650195e-001
1.21059813355048e+003,-2.48577241761056e+001,-7.59458768046426e-001
1.21338885046497e+003,-2.48593084034501e+001,-7.61233406672289e-001
1.21618600064636e+003,-2.48609002702091e+001,-7.63012308595777e-001
1.21898959892486e+003,-2.48624998147988e+001,-7.64795484919809e-001
1.22179966016487e+003,-2.48641070758433e+001,-7.66582946782804e-001
1.22461619926504e+003,-2.48657220921768e+001,-7.68374705358978e-001
1.22743923115840e+003,-2.48673449028442e+001,-7.70170771858193e-001
1.23026877081238e+003,-2.48689755471027e+001,-7.71971157526065e-001
1.23310483322890e+003,-2.48706140644231e+001,-7.73775873644475e-001
1.23594743344450e+003,-2.48722604944909e+001,-7.75584931531674e-001
1.23879658653036e+003,-2.48739148772080e+001,-7.77398342542049e-001
1.24165230759241e+003,-2.48755772526935e+001,-7.79216118066768e-001
1.24451461177138e+003,-2.48772476612855e+001,-7.81038269533782e-001
1.24738351424294e+003,-2.48789261435425e+001,-7.82864808407809e-001
1.25025903021771e+003,-2.48806127402441e+001,-7.84695746190812e-001
1.25314117494141e+003,-2.48823074923934e+001,-7.86531094422075e-001
1.25602996369487e+003,-2.48840104412173e+001,-7.88370864678256e-001
1.25892541179416e+003,-2.48857216281688e+001,-7.90215068573543e-001
1.26182753459066e+003,-2.48874410949277e+001,-7.92063717760272e-001
1.26473634747115e+003,-2.48891688834026e+001,-7.93916823928322e-001
1.26765186585784e+003,-2.48909050357318e+001,-7.95774398806099e-001
1.27057410520854e+003,-2.48926495942853e+001,-7.97636454160248e-001
1.27350308101666e+003,-2.48944026016656e+001,-7.99503001795888e-001
1.27643880881134e+003,-2.48961641007098e+001,-8.01374053556980e-001
1.27938130415752e+003,-2.48979341344903e+001,-8.03249621326206e-001
1.28233058265601e+003,-2.48997127463173e+001,-8.05129717025599e-001
1.28528665994361e+003,-2.49014999797392e+001,-8.07014352616183e-001
1.28824955169313e+003,-2.49032958785450e+001,-8.08903540098662e-001
1.29121927361353e+003,-2.49051004867651e+001,-8.10797291513321e-001
1.29419584144998e+003,-2.49069138486735e+001,-8.12695618940261e-001
1.29717927098395e+003,-2.49087360087887e+001,-8.14598534499689e-001
1.30016957803328e+003,-2.49105670118756e+001,-8.16506050352078e-001
1.30316677845229e+003,-2.49124069029471e+001,-8.18418178698281e-001
1.30617088813183e+003,-2.49142557272653e+001,-8.20334931779693e-001
1.30918192299940e+003,-2.49161135303435e+001,-8.22256321878717e-001
1.31219989901920e+003,-2.49179803579477e+001,-8.24182361318649e-001
1.31522483219223e+003,-2.49198562560979e+001,-8.26113062464220e-001
1.31825673855640e+003,-2.49217412710701e+001,-8.28048437721255e-001
1.32129563418657e+003,-2.49236354493977e+001,-8.29988499537541e-001
