f,mag,pha
1.00000000000000e+003,7.17601218728227e+001,-1.46065940514864e+000
1.00230523807790e+003,7.17600838907314e+001,-1.46401016254703e+000
1.00461579027840e+003,7.17600457349900e+001,-1.46736853130764e+000
1.00693166885180e+003,7.17600074048121e+001,-1.47073452820307e+000
1.00925288607668e+003,7.17599688994082e+001,-1.47410817003938e+000
1.01157945425990e+003,7.17599302179849e+001,-1.47748947365603e+000
1.01391138573668e+003,7.17598913597455e+001,-1.48087845592603e+000
1.01624869287070e+003,7.17598523238897e+001,-1.48427513375589e+000
1.01859138805412e+003,7.17598131096137e+001,-1.48767952408571e+000
1.02093948370768e+003,7.17597737161101e+001,-1.49109164388922e+000
1.02329299228075e+003,7.17597341425679e+001,-1.49451151017379e+000
1.02565192625141e+003,7.17596943881726e+001,-1.49793913998050e+000
1.02801629812647e+003,7.17596544521059e+001,-1.50137455038419e+000
1.03038612044162e+003,7.17596143335461e+001,-1.50481775849347e+000
1.03276140576140e+003,7.17595740316677e+001,-1.50826878145077e+000
1.03514216667934e+003,7.17595335456417e+001,-1.51172763643239e+000
1.03752841581801e+003,7.17594928746352e+001,-1.51519434064854e+000
1.03992016582906e+003,7.17594520178118e+001,-1.51866891134337e+000
1.04231742939330e+003,7.17594109743314e+001,-1.52215136579501e+000
1.04472021922080e+003,7.17593697433500e+001,-1.52564172131563e+000
1.04712854805090e+003,7.17593283240201e+001,-1.52913999525144e+000
1.04954242865232e+003,7.17592867154903e+001,-1.53264620498279e+000
1.05196187382322e+003,7.17592449169054e+001,-1.53616036792414e+000
1.05438689639126e+003,7.17592029274066e+001,-1.53968250152415e+000
1.05681750921366e+003,7.17591607461312e+001,-1.54321262326570e+000
1.05925372517729e+003,7.17591183722126e+001,-1.54675075066593e+000
1.06169555719872e+003,7.17590758047806e+001,-1.55029690127627e+000
1.06414301822431e+003,7.17590330429608e+001,-1.55385109268250e+000
1.06659612123026e+003,7.17589900858752e+001,-1.55741334250478e+000
1.06905487922266e+003,7.17589469326420e+001,-1.56098366839766e+000
1.07151930523761e+003,7.17589035823753e+001,-1.56456208805017e+000
1.07398941234124e+003,7.17588600341854e+001,-1.56814861918581e+000
1.07646521362983e+003,7.17588162871786e+001,-1.57174327956262e+000
1.07894672222983e+003,7.17587723404572e+001,-1.57534608697320e+000
1.08143395129794e+003,7.17587281931198e+001,-1.57895705924475e+000
1.08392691402120e+003,7.17586838442608e+001,-1.58257621423911e+000
1.08642562361706e+003,7.17586392929707e+001,-1.58620356985281e+000
1.08893009333343e+003,7.17585945383358e+001,-1.58983914401707e+000
1.09144033644875e+003,7.17585495794387e+001,-1.59348295469787e+000
1.09395636627209e+003,7.17585044153577e+001,-1.59713501989598e+000
