f,mag,pha
1.00000000000000e+003,-1.87432011545112e+001,9.10407614078284e+001
1.00230523807790e+003,-1.87231160865639e+001,9.10510793139998e+001
1.00461579027840e+003,-1.87030304612508e+001,9.10614025321765e+001
1.00693166885180e+003,-1.86829442767835e+001,9.10717311149903e+001
1.00925288607668e+003,-1.86628575313623e+001,9.10820651150892e+001
1.01157945425990e+003,-1.86427702231758e+001,9.10924045851374e+001
1.01391138573668e+003,-1.86226823504009e+001,9.11027495778156e+001
1.01624869287070e+003,-1.86025939112029e+001,9.11131001458211e+001
1.01859138805412e+003,-1.85825049037353e+001,9.11234563418680e+001
1.02093948370768e+003,-1.85624153261397e+001,9.11338182186874e+001
1.02329299228075e+003,-1.85423251765463e+001,9.11441858290275e+001
1.02565192625141e+003,-1.85222344530730e+001,9.11545592256539e+001
1.02801629812647e+003,-1.85021431538261e+001,9.11649384613498e+001
1.03038612044162e+003,-1.84820512768999e+001,9.11753235889159e+001
1.03276140576140e+003,-1.84619588203768e+001,9.11857146611709e+001
1.03514216667934e+003,-1.84418657823272e+001,9.11961117309516e+001
1.03752841581801e+003,-1.84217721608093e+001,9.12065148511128e+001
1.03992016582906e+003,-1.84016779538695e+001,9.12169240745279e+001
1.04231742939330e+003,-1.83815831595419e+001,9.12273394540889e+001
1.04472021922080e+003,-1.83614877758486e+001,9.12377610427062e+001
1.04712854805090e+003,-1.83413918007993e+001,9.12481888933096e+001
1.04954242865232e+003,-1.83212952323917e+001,9.12586230588476e+001
1.05196187382322e+003,-1.83011980686111e+001,9.12690635922881e+001
1.05438689639126e+003,-1.82811003074306e+001,9.12795105466186e+001
1.05681750921366e+003,-1.82610019468109e+001,9.12899639748458e+001
1.05925372517729e+003,-1.82409029847002e+001,9.13004239299965e+001
1.06169555719872e+003,-1.82208034190345e+001,9.13108904651175e+001
1.06414301822431e+003,-1.82007032477372e+001,9.13213636332753e+001
1.06659612123026e+003,-1.81806024687192e+001,9.13318434875571e+001
1.06905487922266e+003,-1.81605010798788e+001,9.13423300810703e+001
1.07151930523761e+003,-1.81403990791019e+001,9.13528234669430e+001
1.07398941234124e+003,-1.81202964642615e+001,9.13633236983241e+001
1.07646521362983e+003,-1.81001932332182e+001,9.13738308283834e+001
1.07894672222983e+003,-1.80800893838196e+001,9.13843449103118e+001
1.08143395129794e+003,-1.80599849139009e+001,9.13948659973216e+001
1.08392691402120e+003,-1.80398798212841e+001,9.14053941426463e+001
1.08642562361706e+003,-1.80197741037786e+001,9.14159293995413e+001
1.08893009333343e+003,-1.79996677591809e+001,9.14264718212835e+001
1.09144033644875e+003,-1.79795607852745e+001,9.14370214611719e+001
1.09395636627209e+003,-1.79594531798299e+001,9.14475783725275e+001
1.09647819614318e+003,-1.79393449406047e+001,9.14581426086937e+001
1.09900583943252e+003,-1.79192360653434e+001,9.14687142230360e+001
1.10153930954141e+003,-1.78991265517772e+001,9.14792932689429e+001
1.10407861990207e+003,-1.78790163976244e+001,9.14898797998253e+001
1.10662378397766e+003,-1.78589056005900e+001,9.15004738691172e+001
1.10917481526240e+003,-1.78387941583658e+001,9.15110755302754e+001
1.11173172728159e+003,-1.78186820686303e+001,9.15216848367801e+001
1.11429453359173e+003,-1.77985693290485e+001,9.15323018421349e+001
1.11686324778056e+003,-1.77784559372722e+001,9.15429265998669e+001
1.11943788346715e+003,-1.77583418909398e+001,9.15535591635267e+001
1.12201845430196e+003,-1.77382271876761e+001,9.15641995866889e+001
1.12460497396692e+003,-1.77181118250924e+001,9.15748479229521e+001
1.12719745617551e+003,-1.76979958007866e+001,9.15855042259389e+001
1.12979591467279e+003,-1.76778791123428e+001,9.15961685492963e+001
1.13240036323555e+003,-1.76577617573314e+001,9.16068409466957e+001
1.13501081567231e+003,-1.76376437333093e+001,9.16175214718332e+001
1.13762728582343e+003,-1.76175250378195e+001,9.16282101784294e+001
1.14024978756117e+003,-1.75974056683912e+001,9.16389071202301e+001
1.14287833478977e+003,-1.75772856225398e+001,9.16496123510060e+001
1.14551294144553e+003,-1.75571648977667e+001,9.16603259245529e+001
1.14815362149688e+003,-1.75370434915594e+001,9.16710478946921e+001
1.15080038894443e+003,-1.75169214013915e+001,9.16817783152703e+001
1.15345325782109e+003,-1.74967986247224e+001,9.16925172401599e+001
1.15611224219210e+003,-1.74766751589975e+001,9.17032647232590e+001
1.15877735615512e+003,-1.74565510016480e+001,9.17140208184917e+001
1.16144861384034e+003,-1.74364261500908e+001,9.17247855798082e+001
1.16412602941049e+003,-1.74163006017287e+001,9.17355590611847e+001
1.16680961706096e+003,-1.73961743539503e+001,9.17463413166241e+001
1.16949939101987e+003,-1.73760474041295e+001,9.17571324001554e+001
1.17219536554813e+003,-1.73559197496260e+001,9.17679323658346e+001
1.17489755493953e+003,-1.73357913877852e+001,9.17787412677444e+001
1.17760597352080e+003,-1.73156623159377e+001,9.17895591599942e+001
1.18032063565173e+003,-1.72955325313996e+001,9.18003860967207e+001
1.18304155572516e+003,-1.72754020314726e+001,9.18112221320877e+001
1.18576874816716e+003,-1.72552708134434e+001,9.18220673202863e+001
1.18850222743701e+003,-1.72351388745844e+001,9.18329217155352e+001
1.19124200802737e+003,-1.72150062121528e+001,9.18437853720805e+001
1.19398810446427e+003,-1.71948728233912e+001,9.18546583441964e+001
1.19674053130724e+003,-1.71747387055272e+001,9.18655406861845e+001
1.19949930314937e+003,-1.71546038557738e+001,9.18764324523748e+001
