f,mag,pha
1.00000000000000e+003,7.18081073548034e+001,-1.32508080160291e+000,-7.18081073548034e+001,-1.78674919198397e+002
1.00230523807790e+003,7.18080759597088e+001,-1.32812882834562e+000,-7.18080759597088e+001,-1.78671871171654e+002
1.00461579027840e+003,7.18080444199373e+001,-1.33118383580443e+000,-7.18080444199373e+001,-1.78668816164196e+002
1.00693166885180e+003,7.18080127348232e+001,-1.33424583975513e+000,-7.18080127348232e+001,-1.78665754160245e+002
1.00925288607668e+003,7.18079809036977e+001,-1.33731485600770e+000,-7.18079809036977e+001,-1.78662685143992e+002
1.01157945425990e+003,7.18079489258893e+001,-1.34039090040635e+000,-7.18079489258893e+001,-1.78659609099594e+002
1.01391138573668e+003,7.18079168007230e+001,-1.34347398882959e+000,-7.18079168007230e+001,-1.78656526011170e+002
1.01624869287070e+003,7.18078845275211e+001,-1.34656413719033e+000,-7.18078845275211e+001,-1.78653435862810e+002
1.01859138805412e+003,7.18078521056023e+001,-1.34966136143588e+000,-7.18078521056023e+001,-1.78650338638564e+002
1.02093948370768e+003,7.18078195342827e+001,-1.35276567754806e+000,-7.18078195342827e+001,-1.78647234322452e+002
1.02329299228075e+003,7.18077868128750e+001,-1.35587710154326e+000,-7.18077868128750e+001,-1.78644122898457e+002
1.02565192625141e+003,7.18077539406886e+001,-1.35899564947249e+000,-7.18077539406886e+001,-1.78641004350528e+002
1.02801629812647e+003,7.18077209170301e+001,-1.36212133742143e+000,-7.18077209170301e+001,-1.78637878662579e+002
1.03038612044162e+003,7.18076877412026e+001,-1.36525418151055e+000,-7.18076877412026e+001,-1.78634745818489e+002
1.03276140576140e+003,7.18076544125063e+001,-1.36839419789511e+000,-7.18076544125063e+001,-1.78631605802105e+002
1.03514216667934e+003,7.18076209302378e+001,-1.37154140276526e+000,-7.18076209302378e+001,-1.78628458597235e+002
1.03752841581801e+003,7.18075872936908e+001,-1.37469581234609e+000,-7.18075872936908e+001,-1.78625304187654e+002
1.03992016582906e+003,7.18075535021558e+001,-1.37785744289771e+000,-7.18075535021558e+001,-1.78622142557102e+002
1.04231742939330e+003,7.18075195549197e+001,-1.38102631071530e+000,-7.18075195549197e+001,-1.78618973689285e+002
1.04472021922080e+003,7.18074854512665e+001,-1.38420243212916e+000,-7.18074854512665e+001,-1.78615797567871e+002
1.04712854805090e+003,7.18074511904767e+001,-1.38738582350483e+000,-7.18074511904767e+001,-1.78612614176495e+002
1.04954242865232e+003,7.18074167718276e+001,-1.39057650124309e+000,-7.18074167718276e+001,-1.78609423498757e+002
1.05196187382322e+003,7.18073821945931e+001,-1.39377448178005e+000,-7.18073821945931e+001,-1.78606225518220e+002
1.05438689639126e+003,7.18073474580439e+001,-1.39697978158722e+000,-7.18073474580439e+001,-1.78603020218413e+002
1.05681750921366e+003,7.18073125614472e+001,-1.40019241717158e+000,-7.18073125614472e+001,-1.78599807582828e+002
1.05925372517729e+003,7.18072775040670e+001,-1.40341240507562e+000,-7.18072775040670e+001,-1.78596587594924e+002
1.06169555719872e+003,7.18072422851638e+001,-1.40663976187742e+000,-7.18072422851638e+001,-1.78593360238123e+002
1.06414301822431e+003,7.18072069039948e+001,-1.40987450419072e+000,-7.18072069039948e+001,-1.78590125495809e+002
1.06659612123026e+003,7.18071713598138e+001,-1.41311664866498e+000,-7.18071713598138e+001,-1.78586883351335e+002
1.06905487922266e+003,7.18071356518710e+001,-1.41636621198543e+000,-7.18071356518710e+001,-1.78583633788015e+002
1.07151930523761e+003,7.18070997794135e+001,-1.41962321087315e+000,-7.18070997794135e+001,-1.78580376789127e+002
1.07398941234124e+003,7.18070637416846e+001,-1.42288766208514e+000,-7.18070637416846e+001,-1.78577112337915e+002
1.07646521362983e+003,7.18070275379244e+001,-1.42615958241436e+000,-7.18070275379244e+001,-1.78573840417586e+002
1.07894672222983e+003,7.18069911673693e+001,-1.42943898868983e+000,-7.18069911673693e+001,-1.78570561011310e+002
1.08143395129794e+003,7.18069546292525e+001,-1.43272589777666e+000,-7.18069546292525e+001,-1.78567274102223e+002
1.08392691402120e+003,7.18069179228033e+001,-1.43602032657614e+000,-7.18069179228033e+001,-1.78563979673424e+002
1.08642562361706e+003,7.18068810472477e+001,-1.43932229202578e+000,-7.18068810472477e+001,-1.78560677707974e+002
1.08893009333343e+003,7.18068440018083e+001,-1.44263181109940e+000,-7.18068440018083e+001,-1.78557368188901e+002
1.09144033644875e+003,7.18068067857038e+001,-1.44594890080719e+000,-7.18068067857038e+001,-1.78554051099193e+002
1.09395636627209e+003,7.18067693981495e+001,-1.44927357819575e+000,-7.18067693981495e+001,-1.78550726421804e+002
1.09647819614318e+003,7.18067318383571e+001,-1.45260586034819e+000,-7.18067318383571e+001,-1.78547394139652e+002
1.09900583943252e+003,7.18066941055347e+001,-1.45594576438417e+000,-7.18066941055347e+001,-1.78544054235616e+002
1.10153930954141e+003,7.18066561988868e+001,-1.45929330745997e+000,-7.18066561988868e+001,-1.78540706692540e+002
1.10407861990207e+003,7.18066181176141e+001,-1.46264850676856e+000,-7.18066181176141e+001,-1.78537351493231e+002
1.10662378397766e+003,7.18065798609139e+001,-1.46601137953968e+000,-7.18065798609139e+001,-1.78533988620460e+002
1.10917481526240e+003,7.18065414279795e+001,-1.46938194303985e+000,-7.18065414279795e+001,-1.78530618056960e+002
1.11173172728159e+003,7.18065028180009e+001,-1.47276021457251e+000,-7.18065028180009e+001,-1.78527239785428e+002
1.11429453359173e+003,7.18064640301639e+001,-1.47614621147803e+000,-7.18064640301639e+001,-1.78523853788522e+002
