Freq.,Vn004/IR10
1.26182753459066e+003,-3.15001351992752e+001,-3.66376529342052e-012
1.26473634747115e+003,-3.15001352033200e+001,-3.86732389566663e-012
1.26765186585784e+003,-3.15001351992752e+001,-4.07088247804972e-012
1.27057410520854e+003,-3.15001351952304e+001,-3.86731921445277e-012
1.27350308101666e+003,-3.15001351992752e+001,-3.86731685276685e-012
1.27643880881134e+003,-3.15001351952304e+001,-3.46019264145562e-012
1.27938130415752e+003,-3.15001351992752e+001,-3.86731207584689e-012
1.28233058265601e+003,-3.15001351992752e+001,-3.86730966217734e-012
1.28528665994361e+003,-3.15001352033200e+001,-4.07086814823988e-012
1.28824955169313e+003,-3.15001351992752e+001,-4.07086569862349e-012
1.29121927361353e+003,-3.15001351952304e+001,-4.27442414650715e-012
1.29419584144998e+003,-3.15001351952304e+001,-4.07086074954350e-012
1.29717927098395e+003,-3.15001351992752e+001,-3.66373642212696e-012
1.30016957803328e+003,-3.15001352033200e+001,-3.86729482144515e-012
1.30316677845229e+003,-3.15001352033200e+001,-3.86729228646009e-012
1.30617088813183e+003,-3.15001351952304e+001,-4.07085064475401e-012
1.30918192299940e+003,-3.15001351992752e+001,-4.07084807588568e-012
1.31219989901920e+003,-3.15001351952304e+001,-4.27440639985276e-012
1.31522483219223e+003,-3.15001351992752e+001,-4.07084287998864e-012
1.31825673855640e+003,-3.15001351992752e+001,-4.07084025459796e-012
1.32129563418657e+003,-3.15001351952304e+001,-4.07083760884349e-012
1.32434153519466e+003,-3.15001351952304e+001,-4.27439586109243e-012
1.32739445772973e+003,-3.15001351992752e+001,-3.86727135228987e-012
1.33045441797808e+003,-3.15001352033200e+001,-4.07082956893342e-012
1.33352143216332e+003,-3.15001351992752e+001,-3.86726593318355e-012
1.33659551654643e+003,-3.15001351992752e+001,-4.07082410979944e-012
1.33967668742593e+003,-3.15001351992752e+001,-4.07082135234408e-012
1.34276496113786e+003,-3.15001351992752e+001,-4.07081857548231e-012
1.34586035405594e+003,-3.15001352033200e+001,-4.07081578097185e-012
1.34896288259165e+003,-3.15001351992752e+001,-4.27437387778854e-012
1.35207256319427e+003,-3.15001351992752e+001,-3.86724921227230e-012
1.35518941235103e+003,-3.15001351992752e+001,-4.07080727119723e-012
1.35831344658715e+003,-3.15001351992752e+001,-4.27436531001599e-012
1.36144468246594e+003,-3.15001351952304e+001,-4.07080149708635e-012
1.36458313658892e+003,-3.15001351952304e+001,-3.86723766575396e-012
1.36772882559584e+003,-3.15001351992752e+001,-4.27435655999474e-012
1.37088176616484e+003,-3.15001352033200e+001,-4.27435360413714e-012
1.37404197501251e+003,-3.15001352033200e+001,-4.47791154035408e-012
1.37720946889394e+003,-3.15001351992752e+001,-3.86722579420401e-012
1.38038426460288e+003,-3.15001351952304e+001,-4.47790551573552e-012
1.38356637897177e+003,-3.15001352033200e+001,-4.27434156294128e-012
1.38675582887188e+003,-3.15001351952304e+001,-4.47789941016820e-012
1.38995263121334e+003,-3.15001351911856e+001,-4.47789632300017e-012
1.39315680294529e+003,-3.15001351992752e+001,-4.27433230554876e-012
1.39636836105593e+003,-3.15001351992752e+001,-4.07076826203477e-012
1.39958732257261e+003,-3.15001351952304e+001,-4.68144785349985e-012
1.40281370456195e+003,-3.15001351992752e+001,-4.27432285311097e-012
1.40604752412990e+003,-3.15001351992752e+001,-4.27431965778236e-012
1.40928879842186e+003,-3.15001351992752e+001,-4.07075552512933e-012
1.41253754462274e+003,-3.15001351992752e+001,-4.47787411419854e-012
1.41579377995707e+003,-3.15001352033200e+001,-4.27430993800804e-012
1.41905752168908e+003,-3.15001351952304e+001,-4.07074573293343e-012
1.42232878712281e+003,-3.15001352033200e+001,-4.07074242716633e-012
1.42560759360218e+003,-3.15001351952304e+001,-4.27430000518684e-012
1.42889395851109e+003,-3.15001351992752e+001,-4.47785756558061e-012
1.43218789927353e+003,-3.15001351992752e+001,-4.27429327070953e-012
1.43548943335364e+003,-3.15001352033200e+001,-4.27428986879100e-012
1.43879857825583e+003,-3.15001351992752e+001,-4.47784735368367e-012
1.44211535152486e+003,-3.15001352033200e+001,-4.07072207387602e-012
1.44543977074592e+003,-3.15001351992752e+001,-4.88496225473428e-012
1.44877185354475e+003,-3.15001351992752e+001,-4.27427600934832e-012
1.45211161758773e+003,-3.15001352033200e+001,-4.47783340055232e-012
1.45545908058195e+003,-3.15001351992752e+001,-4.47782984790541e-012
1.45881426027534e+003,-3.15001351992752e+001,-4.68138718708917e-012
1.46217717445671e+003,-3.15001351952304e+001,-4.88494449876291e-012
1.46554784095590e+003,-3.15001351952304e+001,-4.68137995778725e-012
1.46892627764385e+003,-3.15001351992752e+001,-4.68137630810164e-012
1.47231250243271e+003,-3.15001351992752e+001,-4.47781171565449e-012
1.47570653327588e+003,-3.15001351952304e+001,-5.08849075408098e-012
1.47910838816819e+003,-3.15001351952304e+001,-4.68136519490827e-012
1.48251808514594e+003,-3.15001351952304e+001,-4.27423960939928e-012
1.48593564228699e+003,-3.15001351992752e+001,-4.68135765837374e-012
1.48936107771090e+003,-3.15001352033200e+001,-4.07067110653038e-012
1.49279440957898e+003,-3.15001351992752e+001,-4.27422818319790e-012
1.49623565609442e+003,-3.15001351992752e+001,-4.88490706426717e-012
1.49968483550236e+003,-3.15001352033200e+001,-4.27422043122493e-012
1.50314196609001e+003,-3.15001352033200e+001,-4.47777742800788e-012
1.50660706618673e+003,-3.15001351992752e+001,-4.68133439492789e-012
1.51008015416413e+003,-3.15001351992752e+001,-4.88489133605208e-012
1.51356124843619e+003,-3.15001351992752e+001,-4.88488733429401e-012
1.51705036745932e+003,-3.15001351992752e+001,-4.88488330425452e-012
1.52054752973248e+003,-3.15001351992752e+001,-4.88487924573122e-012
1.52405275379728e+003,-3.15001351952304e+001,-5.08843607095245e-012
1.52756605823806e+003,-3.15001351992752e+001,-4.68131012761436e-012
1.53108746168201e+003,-3.15001351992752e+001,-4.47774506760856e-012
1.53461698279928e+003,-3.15001351992752e+001,-4.68130180789801e-012
1.53815464030302e+003,-3.15001352033200e+001,-4.27417577625425e-012
1.54170045294954e+003,-3.15001351992752e+001,-4.68129337010721e-012
1.54525443953840e+003,-3.15001351992752e+001,-4.88485002120610e-012
1.54881661891247e+003,-3.15001351992752e+001,-4.68128481254422e-012
1.55238700995807e+003,-3.15001351952304e+001,-5.08840231554484e-012
1.55596563160506e+003,-3.15001351992752e+001,-4.88483704828817e-012
1.55955250282694e+003,-3.15001352033200e+001,-4.88483266492818e-012
1.56314764264094e+003,-3.15001352033200e+001,-4.68126733336567e-012
1.56675107010813e+003,-3.15001351952304e+001,-5.08838471050014e-012
1.57036280433354e+003,-3.15001351952304e+001,-4.68125840168867e-012
1.57398286446620e+003,-3.15001351952304e+001,-5.29193663470853e-012
1.57761126969933e+003,-3.15001351992752e+001,-4.88481026453707e-012
1.58124803927037e+003,-3.15001351992752e+001,-5.08836660414647e-012
1.58489319246110e+003,-3.15001352033200e+001,-4.47767925424289e-012
1.58854674859776e+003,-3.15001351952304e+001,-5.08835735398679e-012
1.59220872705115e+003,-3.15001351992752e+001,-4.88479176849007e-012
1.59587914723672e+003,-3.15001351992752e+001,-4.88478706233209e-012
1.59955802861465e+003,-3.15001351952304e+001,-5.49546506468919e-012
1.60324539069002e+003,-3.15001351992752e+001,-5.29189937938679e-012
1.60694125301286e+003,-3.15001351952304e+001,-5.49545548475808e-012
1.61064563517825e+003,-3.15001351992752e+001,-4.88476790198582e-012
1.61435855682647e+003,-3.15001351952304e+001,-4.88476302448582e-012
1.61808003764305e+003,-3.15001351992752e+001,-4.68119720218766e-012
1.62181009735891e+003,-3.15001351992752e+001,-4.47763134282071e-012
1.62554875575047e+003,-3.15001352033200e+001,-4.68118728019302e-012
1.62929603263970e+003,-3.15001351992752e+001,-4.47762134830577e-012
1.63305194789432e+003,-3.15001351992752e+001,-4.68117721265198e-012
1.63681652142779e+003,-3.15001351992752e+001,-5.29185487079607e-012
1.64058977319952e+003,-3.15001351952304e+001,-4.68116700188627e-012
1.64437172321491e+003,-3.15001351952304e+001,-4.88472275794599e-012
1.64816239152549e+003,-3.15001351952304e+001,-5.49540030683558e-012
1.65196179822900e+003,-3.15001352033200e+001,-4.68115142028857e-012
1.65576996346951e+003,-3.15001352033200e+001,-4.68114615109709e-012
1.65958690743754e+003,-3.15001351992752e+001,-4.68114084234585e-012
1.66341265037015e+003,-3.15001352033200e+001,-4.68113550030535e-012
1.66724721255104e+003,-3.15001351992752e+001,-5.29181286039024e-012
1.67109061431069e+003,-3.15001352033200e+001,-4.88468561272742e-012
1.67494287602642e+003,-3.15001351992752e+001,-5.08824106645210e-012
1.67880401812254e+003,-3.15001351992752e+001,-4.88467465410215e-012
1.68267406107045e+003,-3.15001351992752e+001,-4.68110820272725e-012
1.68655302538872e+003,-3.15001352033200e+001,-5.08822445882088e-012
1.69044093164324e+003,-3.15001351952304e+001,-5.29177975331991e-012
1.69433780044731e+003,-3.15001352033200e+001,-5.49533501780078e-012
1.69824365246172e+003,-3.15001351992752e+001,-5.08820749013124e-012
1.70215850839493e+003,-3.15001351992752e+001,-5.29176266897365e-012
1.70608238900310e+003,-3.15001352033200e+001,-5.29175689473419e-012
1.71001531509027e+003,-3.15001351992752e+001,-5.29175107452793e-012
1.71395730750840e+003,-3.15001352073648e+001,-4.88462339039710e-012
1.71790838715757e+003,-3.15001351992752e+001,-5.08817839994016e-012
1.72186857498598e+003,-3.15001351992752e+001,-5.49529428690078e-012
1.72583789199018e+003,-3.15001351992752e+001,-5.29172738721971e-012
1.72981635921508e+003,-3.15001351992752e+001,-5.29172135979905e-012
1.73380399775412e+003,-3.15001352033200e+001,-4.88459346220073e-012
1.73780082874935e+003,-3.15001351992752e+001,-5.49527009090377e-012
1.74180687339159e+003,-3.15001351992752e+001,-4.88458118960051e-012
1.74582215292048e+003,-3.15001351992752e+001,-5.69881864812532e-012
1.74984668862463e+003,-3.15001351952304e+001,-4.88456874186027e-012
1.75388050184174e+003,-3.15001351952304e+001,-5.69880611148510e-012
1.75792361395867e+003,-3.15001351952304e+001,-5.29167794812685e-012
1.76197604641161e+003,-3.15001351952304e+001,-5.29167156911784e-012
1.76603782068614e+003,-3.15001351992752e+001,-5.08810423238043e-012
1.77010895831740e+003,-3.15001351992752e+001,-5.49521959186491e-012
1.77418948089014e+003,-3.15001351992752e+001,-5.49521307569563e-012
1.77827941003890e+003,-3.15001351992752e+001,-5.90232834274638e-012
1.78237876744807e+003,-3.15001351992752e+001,-5.29163898906879e-012
1.78648757485203e+003,-3.15001351992752e+001,-5.29163233273881e-012
1.79060585403527e+003,-3.15001352033200e+001,-5.69874746126755e-012
1.79473362683250e+003,-3.15001352033200e+001,-5.49517979490036e-012
1.79887091512876e+003,-3.15001351992752e+001,-5.49517299278281e-012
1.80301774085954e+003,-3.15001351992752e+001,-5.29160522998593e-012
1.80717412601090e+003,-3.15001351952304e+001,-5.49515924544603e-012
1.81134009261958e+003,-3.15001351992752e+001,-5.49515230208086e-012
1.81551566277311e+003,-3.15001352033200e+001,-4.88446256452816e-012
1.81970085860996e+003,-3.15001352033200e+001,-5.29157734904259e-012
1.82389570231961e+003,-3.15001352033200e+001,-4.88444842375215e-012
1.82810021614272e+003,-3.15001351992752e+001,-6.10580676420808e-012
1.83231442237119e+003,-3.15001351952304e+001,-5.69867773492044e-012
1.83653834334832e+003,-3.15001351992752e+001,-5.69867048922384e-012
1.84077200146893e+003,-3.15001351992752e+001,-5.69866318918088e-012
1.84501541917945e+003,-3.15001352033200e+001,-5.69865583972357e-012
1.84926861897805e+003,-3.15001351992752e+001,-4.88440477330540e-012
1.85353162341478e+003,-3.15001351992752e+001,-5.29151914552429e-012
1.85780445509167e+003,-3.15001351952304e+001,-5.69863346187820e-012
1.86208713666284e+003,-3.15001351992752e+001,-5.29150407073432e-012
1.86637969083464e+003,-3.15001351952304e+001,-5.69861827950244e-012
1.87068214036577e+003,-3.15001351992752e+001,-5.69861060959405e-012
1.87499450806739e+003,-3.15001351992752e+001,-5.69860288225609e-012
1.87931681680324e+003,-3.15001351992752e+001,-5.29147327014018e-012
1.88364908948977e+003,-3.15001351992752e+001,-5.69858726165555e-012
1.88799134909627e+003,-3.15001351992752e+001,-5.69857936758699e-012
1.89234361864495e+003,-3.15001351992752e+001,-5.69857141713055e-012
1.89670592121112e+003,-3.15001351952304e+001,-6.10568523663595e-012
1.90107827992327e+003,-3.15001351992752e+001,-6.10567717501215e-012
1.90546071796322e+003,-3.15001352033200e+001,-5.69854722596627e-012
1.90985325856621e+003,-3.15001351992752e+001,-6.10566087277138e-012
1.91425592502106e+003,-3.15001351992752e+001,-5.29140897494757e-012
1.91866874067026e+003,-3.15001351952304e+001,-6.10564433379670e-012
1.92309172891013e+003,-3.15001351992752e+001,-5.69851415019404e-012
1.92752491319091e+003,-3.15001351952304e+001,-5.69850573093784e-012
1.93196831701689e+003,-3.15001351992752e+001,-5.69849725679279e-012
1.93642196394658e+003,-3.15001351992752e+001,-6.10561054896232e-012
1.94088587759275e+003,-3.15001352033200e+001,-5.69848012350048e-012
1.94536008162263e+003,-3.15001351952304e+001,-6.10559328757160e-012
1.94984459975802e+003,-3.15001351992752e+001,-4.88421907959558e-012
1.95433945577536e+003,-3.15001351992752e+001,-5.69845395436873e-012
1.95884467350596e+003,-3.15001352033200e+001,-5.69844510970685e-012
1.96336027683602e+003,-3.15001351952304e+001,-5.69843619374320e-012
1.96788628970681e+003,-3.15001351992752e+001,-5.69842722193656e-012
1.97242273611482e+003,-3.15001351992752e+001,-6.10554001280966e-012
1.97696964011183e+003,-3.15001351992752e+001,-6.10553090933904e-012
1.98152702580507e+003,-3.15001351952304e+001,-5.69839990839764e-012
1.98609491735734e+003,-3.15001351992752e+001,-6.10551250627992e-012
1.99067333898715e+003,-3.15001351952304e+001,-6.51262503230454e-012
1.99526231496885e+003,-3.15001351952304e+001,-6.10549383568877e-012
1.99986186963271e+003,-3.15001351992752e+001,-5.69836257458305e-012
2.00447202736513e+003,-3.15001351952304e+001,-6.10547489936297e-012
2.00909281260870e+003,-3.15001352033200e+001,-5.69834350514511e-012
2.01372424986236e+003,-3.15001351952304e+001,-6.51257751992528e-012
2.01836636368153e+003,-3.15001351992752e+001,-5.69832415587767e-012
2.02301917867824e+003,-3.15001352033200e+001,-6.10543621081195e-012
2.02768271952125e+003,-3.15001351952304e+001,-6.51254818687744e-012
2.03235701093619e+003,-3.15001351992752e+001,-6.10541644198018e-012
2.03704207770568e+003,-3.15001351952304e+001,-6.51252827904211e-012
2.04173794466950e+003,-3.15001351952304e+001,-6.51251821782843e-012
2.04644463672464e+003,-3.15001351992752e+001,-6.10538625781289e-012
2.05116217882553e+003,-3.15001351992752e+001,-7.32674154041774e-012
2.05589059598411e+003,-3.15001352033200e+001,-6.10536577494882e-012
2.06062991326997e+003,-3.15001351992752e+001,-6.51247724837423e-012
2.06538015581049e+003,-3.15001352033200e+001,-6.51246682369573e-012
2.07014134879101e+003,-3.15001351992752e+001,-5.69821265882204e-012
2.07491351745487e+003,-3.15001351992752e+001,-6.10532391031841e-012
2.07969668710366e+003,-3.15001351992752e+001,-6.51243508578656e-012
2.08449088309725e+003,-3.15001351992752e+001,-6.91954618466739e-012
2.08929613085400e+003,-3.15001351992752e+001,-6.51241354719038e-012
2.09411245585086e+003,-3.15001352033200e+001,-5.29103717525178e-012
2.09893988362349e+003,-3.15001351952304e+001,-6.10526986526985e-012
2.10377843976644e+003,-3.15001352073648e+001,-6.10525883105024e-012
2.10862814993325e+003,-3.15001351952304e+001,-6.91949135915283e-012
2.11348903983661e+003,-3.15001351952304e+001,-6.91948015692401e-012
2.11836113524846e+003,-3.15001351952304e+001,-6.10522521524496e-012
2.12324446200018e+003,-3.15001351992752e+001,-6.51233568362407e-012
2.12813904598267e+003,-3.15001351992752e+001,-6.10520240813787e-012
2.13304491314654e+003,-3.15001351992752e+001,-6.51231270944041e-012
2.13796208950219e+003,-3.15001351992752e+001,-6.91942292771666e-012
2.14289060112002e+003,-3.15001352033200e+001,-5.69804574659320e-012
2.14783047413050e+003,-3.15001351992752e+001,-6.51227762392467e-012
2.15278173472433e+003,-3.15001351952304e+001,-6.10514392737779e-012
2.15774440915263e+003,-3.15001351992752e+001,-6.10513198061570e-012
2.16271852372698e+003,-3.15001351952304e+001,-6.51224177144528e-012
2.16770410481966e+003,-3.15001351952304e+001,-6.10510781951717e-012
2.17270117886370e+003,-3.15001351992752e+001,-6.91933927163920e-012
2.17770977235312e+003,-3.15001351992752e+001,-6.10508331444378e-012
2.18272991184296e+003,-3.15001352033200e+001,-6.51219276038030e-012
2.18776162394951e+003,-3.15001351992752e+001,-6.51218028128065e-012
2.19280493535041e+003,-3.15001351992752e+001,-6.51216771518487e-012
2.19785987278478e+003,-3.15001352033200e+001,-6.10503323163349e-012
2.20292646305342e+003,-3.15001351952304e+001,-6.91926413661841e-012
2.20800473301886e+003,-3.15001351952304e+001,-7.32637312583227e-012
2.21309470960560e+003,-3.15001352033200e+001,-7.32636019973076e-012
2.21819641980018e+003,-3.15001352033200e+001,-6.10498168401456e-012
2.22330989065136e+003,-3.15001351952304e+001,-6.10496855788784e-012
2.22843514927026e+003,-3.15001351952304e+001,-6.91919900147309e-012
2.23357222283049e+003,-3.15001351992752e+001,-6.91918569394756e-012
2.23872113856830e+003,-3.15001351992752e+001,-6.51205045738296e-012
2.24388192378272e+003,-3.15001351992752e+001,-6.51203695349458e-012
2.24905460583574e+003,-3.15001352033200e+001,-6.10490152519867e-012
2.25423921215239e+003,-3.15001352033200e+001,-6.91913148487788e-012
2.25943577022093e+003,-3.15001351952304e+001,-6.91911767942415e-012
2.26464430759302e+003,-3.15001352033200e+001,-6.51198195722664e-012
2.26986485188378e+003,-3.15001351992752e+001,-6.91908978436849e-012
2.27509743077203e+003,-3.15001351992752e+001,-6.51195385400709e-012
2.28034207200037e+003,-3.15001351992752e+001,-6.51193965116717e-012
2.28559880337539e+003,-3.15001352033200e+001,-6.10480351872505e-012
2.29086765276773e+003,-3.15001351992752e+001,-6.51191093619764e-012
2.29614864811232e+003,-3.15001351992752e+001,-6.91901825213514e-012
2.30144181740846e+003,-3.15001351952304e+001,-6.91900363009194e-012
2.30674718872002e+003,-3.15001351992752e+001,-6.91898890855438e-012
2.31206479017555e+003,-3.15001352033200e+001,-6.51185225049600e-012
2.31739464996843e+003,-3.15001351992752e+001,-6.91895913805685e-012
2.32273679635706e+003,-3.15001351992752e+001,-6.51182226111823e-012
2.32809125766496e+003,-3.15001351992752e+001,-6.91892893425416e-012
2.33345806228096e+003,-3.15001351952304e+001,-7.32603549403178e-012
2.33883723865931e+003,-3.15001351992752e+001,-6.51177646105453e-012
2.34422881531987e+003,-3.15001352033200e+001,-6.10463914551793e-012
2.34963282084826e+003,-3.15001352033200e+001,-7.32598903369412e-012
2.35504928389596e+003,-3.15001352033200e+001,-7.32597331922353e-012
2.36047823318053e+003,-3.15001351992752e+001,-6.91883565762416e-012
2.36591969748571e+003,-3.15001351992752e+001,-7.73306337328032e-012
2.37137370566161e+003,-3.15001351992752e+001,-6.51168182509226e-012
2.37684028662483e+003,-3.15001352033200e+001,-7.32590931164081e-012
2.38231946935864e+003,-3.15001351992752e+001,-6.91877118498977e-012
2.38781128291313e+003,-3.15001351952304e+001,-6.91875476968604e-012
2.39331575640534e+003,-3.15001351952304e+001,-7.32586006768543e-012
2.39883291901944e+003,-3.15001351952304e+001,-6.91872158663029e-012
2.40436280000688e+003,-3.15001351992752e+001,-7.32582664668717e-012
2.40990542868654e+003,-3.15001351992752e+001,-7.73293158148692e-012
2.41546083444489e+003,-3.15001351992752e+001,-7.32579273412926e-012
2.42102904673613e+003,-3.15001351992752e+001,-7.32577559250271e-012
2.42661009508236e+003,-3.15001352033200e+001,-6.91863649969254e-012
2.43220400907376e+003,-3.15001352033200e+001,-7.73286276711181e-012
2.43781081836870e+003,-3.15001352033200e+001,-7.32572341846893e-012
2.44343055269392e+003,-3.15001352033200e+001,-7.32570577198500e-012
2.44906324184469e+003,-3.15001351992752e+001,-7.73280982310006e-012
2.45470891568498e+003,-3.15001351952304e+001,-7.32567008544825e-012
2.46036760414758e+003,-3.15001351952304e+001,-7.32565205027749e-012
2.46603933723429e+003,-3.15001351952304e+001,-8.13987754241896e-012
2.47172414501608e+003,-3.15001352033200e+001,-6.91849376142870e-012
2.47742205763323e+003,-3.15001351992752e+001,-7.32559715511598e-012
2.48313310529552e+003,-3.15001351952304e+001,-6.91845675508817e-012
2.48885731828234e+003,-3.15001351952304e+001,-7.32555988177852e-012
2.49459472694290e+003,-3.15001351992752e+001,-7.73266287552741e-012
