Freq.,Vv1/IR1
2.16770410481966e+003,9.90277164737728e+001,1.79576226190392e+002
2.17270117886370e+003,9.90277618475301e+001,1.79575208435052e+002
2.17770977235312e+003,9.90278074356995e+001,1.79574188043190e+002
2.18272991184296e+003,9.90278532393171e+001,1.79573165006629e+002
2.18776162394951e+003,9.90278992594246e+001,1.79572139317162e+002
2.19280493535041e+003,9.90279454970690e+001,1.79571110966543e+002
2.19785987278478e+003,9.90279919533022e+001,1.79570079946494e+002
2.20292646305342e+003,9.90280386291818e+001,1.79569046248701e+002
2.20800473301886e+003,9.90280855257704e+001,1.79568009864816e+002
2.21309470960560e+003,9.90281326441364e+001,1.79566970786452e+002
2.21819641980018e+003,9.90281799853531e+001,1.79565929005192e+002
2.22330989065136e+003,9.90282275504997e+001,1.79564884512578e+002
2.22843514927026e+003,9.90282753406604e+001,1.79563837300119e+002
2.23357222283049e+003,9.90283233569253e+001,1.79562787359287e+002
2.23872113856830e+003,9.90283716003897e+001,1.79561734681517e+002
2.24388192378272e+003,9.90284200721546e+001,1.79560679258207e+002
2.24905460583574e+003,9.90284687733266e+001,1.79559621080721e+002
2.25423921215239e+003,9.90285177050179e+001,1.79558560140382e+002
2.25943577022093e+003,9.90285668683462e+001,1.79557496428478e+002
2.26464430759302e+003,9.90286162644349e+001,1.79556429936259e+002
2.26986485188378e+003,9.90286658944133e+001,1.79555360654938e+002
2.27509743077203e+003,9.90287157594163e+001,1.79554288575687e+002
2.28034207200037e+003,9.90287658605844e+001,1.79553213689645e+002
2.28559880337539e+003,9.90288161990642e+001,1.79552135987906e+002
2.29086765276773e+003,9.90288667760079e+001,1.79551055461532e+002
2.29614864811232e+003,9.90289175925737e+001,1.79549972101542e+002
2.30144181740846e+003,9.90289686499255e+001,1.79548885898916e+002
2.30674718872002e+003,9.90290199492333e+001,1.79547796844596e+002
2.31206479017555e+003,9.90290714916730e+001,1.79546704929484e+002
2.31739464996843e+003,9.90291232784265e+001,1.79545610144443e+002
2.32273679635706e+003,9.90291753106817e+001,1.79544512480294e+002
2.32809125766496e+003,9.90292275896326e+001,1.79543411927818e+002
2.33345806228096e+003,9.90292801164790e+001,1.79542308477757e+002
2.33883723865931e+003,9.90293328924274e+001,1.79541202120812e+002
2.34422881531987e+003,9.90293859186899e+001,1.79540092847642e+002
2.34963282084826e+003,9.90294391964851e+001,1.79538980648864e+002
2.35504928389596e+003,9.90294927270377e+001,1.79537865515055e+002
2.36047823318053e+003,9.90295465115786e+001,1.79536747436749e+002
2.36591969748571e+003,9.90296005513452e+001,1.79535626404441e+002
2.37137370566161e+003,9.90296548475810e+001,1.79534502408578e+002
2.37684028662483e+003,9.90297094015361e+001,1.79533375439571e+002
2.38231946935864e+003,9.90297642144667e+001,1.79532245487782e+002
2.38781128291313e+003,9.90298192876357e+001,1.79531112543535e+002
2.39331575640534e+003,9.90298746223123e+001,1.79529976597107e+002
2.39883291901944e+003,9.90299302197723e+001,1.79528837638734e+002
2.40436280000688e+003,9.90299860812980e+001,1.79527695658606e+002
2.40990542868654e+003,9.90300422081783e+001,1.79526550646870e+002
2.41546083444489e+003,9.90300986017087e+001,1.79525402593630e+002
2.42102904673613e+003,9.90301552631912e+001,1.79524251488942e+002
2.42661009508236e+003,9.90302121939348e+001,1.79523097322819e+002
2.43220400907376e+003,9.90302693952550e+001,1.79521940085229e+002
2.43781081836870e+003,9.90303268684741e+001,1.79520779766093e+002
2.44343055269392e+003,9.90303846149213e+001,1.79519616355289e+002
2.44906324184469e+003,9.90304426359324e+001,1.79518449842646e+002
2.45470891568498e+003,9.90305009328504e+001,1.79517280217947e+002
2.46036760414758e+003,9.90305595070250e+001,1.79516107470931e+002
2.46603933723429e+003,9.90306183598129e+001,1.79514931591286e+002
2.47172414501608e+003,9.90306774925777e+001,1.79513752568656e+002
2.47742205763323e+003,9.90307369066903e+001,1.79512570392636e+002
2.48313310529552e+003,9.90307966035283e+001,1.79511385052773e+002
2.48885731828234e+003,9.90308565844768e+001,1.79510196538568e+002
2.49459472694290e+003,9.90309168509278e+001,1.79509004839470e+002
2.50034536169638e+003,9.90309774042805e+001,1.79507809944881e+002
2.50610925303206e+003,9.90310382459415e+001,1.79506611844156e+002
2.51188643150953e+003,9.90310993773245e+001,1.79505410526597e+002
2.51767692775880e+003,9.90311607998505e+001,1.79504205981458e+002
2.52348077248052e+003,9.90312225149480e+001,1.79502998197945e+002
2.52929799644609e+003,9.90312845240529e+001,1.79501787165209e+002
2.53512863049785e+003,9.90313468286084e+001,1.79500572872355e+002
2.54097270554925e+003,9.90314094300652e+001,1.79499355308435e+002
2.54683025258499e+003,9.90314723298817e+001,1.79498134462449e+002
2.55270130266119e+003,9.90315355295237e+001,1.79496910323346e+002
2.55858588690559e+003,9.90315990304646e+001,1.79495682880025e+002
2.56448403651766e+003,9.90316628341855e+001,1.79494452121330e+002
2.57039578276881e+003,9.90317269421753e+001,1.79493218036054e+002
2.57632115700252e+003,9.90317913559304e+001,1.79491980612937e+002
2.58226019063454e+003,9.90318560769553e+001,1.79490739840664e+002
2.58821291515303e+003,9.90319211067620e+001,1.79489495707869e+002
2.59417936211876e+003,9.90319864468707e+001,1.79488248203130e+002
2.60015956316521e+003,9.90320520988091e+001,1.79486997314972e+002
2.60615354999884e+003,9.90321180641133e+001,1.79485743031865e+002
2.61216135439915e+003,9.90321843443272e+001,1.79484485342223e+002
2.61818300821893e+003,9.90322509410028e+001,1.79483224234407e+002
2.62421854338438e+003,9.90323178557000e+001,1.79481959696719e+002
2.63026799189532e+003,9.90323850899872e+001,1.79480691717409e+002
2.63633138582532e+003,9.90324526454408e+001,1.79479420284666e+002
