t,in,mag
-5.2885110285581631e-05,-0.0029051275678635413,0.0020292761529853154
-5.2855110285581619e-05,-0.0035674039508646338,0.0010276378901229455
-5.2825110285581608e-05,-0.0048919567168635453,-0.00064175921465028918
-5.2795110285581623e-05,0.0020619453046442082,-0.0063177093708678411
-5.2765110285581612e-05,-0.0065476476743654526,-0.00030787979369923947
-5.2735110285581627e-05,0.0017308071131398976,-0.012661418368990641
-5.2705110285581616e-05,-0.0075410622488708556,0.018723247200691628
-5.2675110285581631e-05,0.0043799126451423889,-0.021676162734739324
-5.264511028558162e-05,-0.0022428511848625599,0.017387729516875172
-5.2615110285581608e-05,-0.012508135121369571,0.00035987904820281908
-5.2585110285581623e-05,0.007360156368652504,-0.025682715786207289
-5.2555110285581612e-05,-0.011514720546871205,0.025734715040707071
-5.2525110285581627e-05,0.0013996689216372437,-0.021008403892828272
-5.2495110285581616e-05,0.0030553598791457359,0.0077052263092054485
-5.2465110285581631e-05,-0.0075410622488660366,0.00035987904821800209
-5.243511028558162e-05,0.0030553598791457359,-0.0046483122660972986
-5.2405110285581608e-05,-0.0042296803338639586,0.0093746234139686618
-5.2375110285581624e-05,-0.00058716022735993967,-0.0069854682127761247
-5.2345110285581612e-05,-0.0035674039508643328,0.0033647938367964577
-5.2315110285581628e-05,-0.0029051275678638423,-0.0083209858965873785
-5.2285110285581616e-05,-0.0019117129933620136,-0.0066515887918220384
-5.2255110285581632e-05,-0.0052230949083656372,-0.0096565035804077812
-5.222511028558162e-05,-0.00058716022735993967,-0.011659780106133888
-5.2195110285581609e-05,-0.0065476476743677112,0.022729800252140046
-5.2165110285581624e-05,-0.0032362657593640876,0.020392644305462282
-5.2135110285581613e-05,-0.0048919567168667077,0.014048935307333865
-5.2105110285581628e-05,-0.0035674039508652362,-0.0086548653175364532
-5.2075110285581616e-05,-0.0029051275678635413,-0.010992021264225715
-5.2045110285581618e-05,-0.0032362657593640876,-0.007319347633730211
-5.201511028558162e-05,-0.00058716022735993967,-0.00030787979369362173
-5.1985110285581622e-05,-0.0025739893763631061,0.0083729851511137321
-5.1955110285581624e-05,-0.0015805748018614674,0.0013615173110770318
-5.1925110285581613e-05,-0.00389854214236518,0.0070374674672971649
-5.1895110285581615e-05,-0.0032362657593640876,-0.0033127945822807314
-5.1865110285581617e-05,-0.0032362657593640876,-0.00030787979369362173
-5.1835110285581619e-05,-0.0048919567168667077,-0.0013095180565559916
-5.1805110285581621e-05,-0.00389854214236518,-0.012995297789950455
-5.1775110285581623e-05,-0.0035674039508646338,-0.0096565035804091481
-5.1745110285581625e-05,-0.0022428511848625599,-0.00030787979369362173
-5.1715110285581613e-05,-0.0025739893763631061,0.0063697086253889923
-5.1685110285581615e-05,-0.0025739893763631061,0.0087068645720678184
-5.1655110285581617e-05,-0.0035674039508646338,0.0016953967320311181
-5.1625110285581619e-05,-0.0012494366103610322,-0.0089887447385008645
-5.1595110285581621e-05,-0.00389854214236518,-0.010324262422317432
-5.1565110285581623e-05,-0.0035674039508646338,-0.0076532270546844083
-5.1535110285581625e-05,-0.0015805748018614674,0.0040325526787100552
-5.1505110285581613e-05,-0.0029051275678635413,0.0083729851511137321
-5.1475110285581615e-05,-0.0022428511848625599,0.0030309144158476853
-5.1445110285581617e-05,-0.00091829841886048591,-0.0023111563194183615
-5.1415110285581619e-05,-0.0029051275678635413,-0.0076532270546844083
-5.1385110285581621e-05,-0.0032362657593640876,-0.0063177093708678411
-5.1355110285581623e-05,-0.0035674039508646338,2.5999627260575586e-05
-5.1325110285581625e-05,-0.0025739893763631061,0.0016953967320311181
-5.1295110285581614e-05,-0.0019117129933620136,0.0036986732577559689
-5.1265110285581616e-05,-0.0022428511848625599,0.0036986732577559689
-5.1235110285581618e-05,-0.0029051275678635413,0.0033647938368017716
-5.120511028558162e-05,-0.0025739893763631061,-0.0036466740032348177
-5.1175110285581622e-05,-0.0025739893763631061,0.0020292761529853154
-5.1145110285581624e-05,-0.0032362657593640876,0.0053680703625265114
-5.1115110285581626e-05,-0.0032362657593640876,0.0016953967320311181
-5.1085110285581614e-05,-0.0025739893763631061,-0.0053160711080054712
-5.1055110285581616e-05,-0.0019117129933620136,-0.0019772768984642752
-5.1025110285581618e-05,-0.0012494366103610322,-0.0053160711080054712
-5.099511028558162e-05,-0.0019117129933620136,-0.0069854682127761247
-5.0965110285581622e-05,-0.0015805748018614674,-0.0013095180565559916
-5.0935110285581624e-05,-0.005223094908367143,0.010710141097792558
-5.0905110285581612e-05,-0.0045608185253661615,0.011711779360654928
-5.0875110285581614e-05,-0.0025739893763631061,-0.00030787979369362173
-5.0845110285581616e-05,-0.0045608185253661615,-0.013329177210904541
-5.0815110285581618e-05,-0.0019117129933620136,-0.012661418368996258
-5.078511028558162e-05,-0.0019117129933620136,0.0033647938368017716
-5.0755110285581622e-05,-0.00058716022735993967,0.0077052263092054485
-5.0725110285581624e-05,-0.00091829841886048591,0.0067035880463430786
-5.0695110285581613e-05,-0.0032362657593640876,2.5999627260575586e-05
-5.0665110285581615e-05,-0.0019117129933620136,-0.0046483122660972986
-5.0635110285581617e-05,-0.0022428511848625599,-0.0086548653175467782
-5.0605110285581619e-05,-0.00389854214236518,-0.0063177093708678411
-5.0575110285581621e-05,-0.0022428511848625599,0.0036986732577559689
-5.0545110285581623e-05,-0.0022428511848625599,0.0050341909415724251
-5.0515110285581625e-05,-0.00389854214236518,-0.0059838299499137548
-5.0485110285581613e-05,-0.0022428511848625599,-0.0096565035804091481
-5.0455110285581615e-05,-0.00091829841886048591,-0.0013095180565559916
-5.0425110285581617e-05,-0.0022428511848625599,0.011377899939700842
-5.0395110285581619e-05,-0.0048919567168667077,0.0097085028349301883
-5.0365110285581621e-05,-0.0032362657593640876,-0.0016433974775100779
-5.0335110285581623e-05,-0.0032362657593640876,-0.0013095180565559916
-5.0305110285581625e-05,-0.0022428511848625599,-0.0063177093708678411
-5.0275110285581613e-05,-0.0019117129933620136,-0.0046483122660972986
-5.0245110285581615e-05,0.00040625434714158803,-0.0013095180565559916
-5.0215110285581617e-05,-0.0029051275678635413,0.0053680703625265114
-5.0185110285581619e-05,-0.0032362657593640876,-0.00097563863560190534
-5.0155110285581621e-05,-0.0019117129933620136,-0.00030787979369362173
-5.0125110285581623e-05,-0.00389854214236518,-0.0063177093708678411
-5.0095110285581625e-05,7.5116155641041793e-05,-0.0083209858965926919
-5.0065110285581614e-05,-0.0045608185253661615,0.0080391057301595348
-5.0035110285581616e-05,0.0013996689216431157,-0.015332453736629281
-5.0005110285581618e-05,-0.0015805748018614674,0.0040325526787100552
-4.997511028558162e-05,-0.0078722004403712909,0.0050341909415724251
-4.9945110285581622e-05,-0.00025602203585939343,-0.0046483122660972986
-4.9915110285581624e-05,-0.0035674039508646338,-0.0019772768984642752
-4.9885110285581626e-05,-0.00091829841886048591,-0.0036466740032348177
-4.9855110285581614e-05,-0.0012494366103610322,0.0050341909415724251
-4.9825110285581616e-05,-0.00389854214236518,-0.00064175921464770802
-4.9795110285581618e-05,-0.0022428511848625599,-0.0033127945822807314
-4.976511028558162e-05,-0.0012494366103610322,0.00035987904821466188
-4.9735110285581622e-05,-0.0029051275678635413,-0.0019772768984642752
-4.9705110285581624e-05,-0.00389854214236518,0.0040325526787100552
-4.9675110285581612e-05,-0.0025739893763631061,0.00035987904821466188
-4.9645110285581614e-05,-0.0025739893763631061,0.0077052263092054485
-4.9615110285581616e-05,0.00040625434714158803,-0.0059838299499137548
-4.9585110285581618e-05,-0.0042296803338656153,0.0077052263092054485
-4.955511028558162e-05,0.0010685307301426805,-0.018671247946170588
-4.9525110285581622e-05,-0.00389854214236518,0.0057019497834807087
-4.9495110285581624e-05,-0.0022428511848625599,-0.0049821916870513849
